Date,Open,High,Low,Close,Volume
2010-01-04,30.62,31.10,30.59,30.95,38414185
2010-01-05,30.85,31.10,30.64,30.96,49758862
2010-01-06,30.88,31.08,30.52,30.77,58182332
2013-10-01,33.35,33.61,33.30,33.58,36718733
2013-10-02,33.36,34.03,33.29,33.92,46946813
2013-10-03,33.88,34.00,33.42,33.86,38707452
2013-10-04,33.69,33.99,33.62,33.88,33008107
2013-10-07,33.60,33.71,33.20,33.30,35069279
2010-04-12,30.25,30.49,30.20,30.32,37074279
2011-04-12,25.83,25.85,25.55,25.64,36936975
2012-04-12,30.48,31.04,30.42,30.98,38306010
2013-04-12,28.85,29.02,28.66,28.79,62888012
2016-04-12,54.37,54.78,53.76,54.65,24574169
2010-02-01,28.39,28.48,27.92,28.41,85931099
2010-03-01,28.77,29.05,28.53,29.02,43805302
2010-06-01,25.53,26.31,25.52,25.89,76155453
2010-07-01,23.09,23.32,22.73,23.16,92239399
2010-09-01,23.67,23.95,23.54,23.90,65235852
2010-10-01,24.77,24.82,24.30,24.38,62672276
2010-11-01,26.88,27.22,26.70,26.95,61916183
2010-12-01,25.57,26.25,25.56,26.04,74123490
2011-02-01,27.80,28.06,27.61,27.99,62810661
2011-03-01,26.60,26.78,26.15,26.16,60054986
2011-04-01,25.53,25.53,25.31,25.48,63114201
2011-06-01,24.99,25.10,24.37,24.43,74036467
2011-07-01,25.93,26.17,25.84,26.02,52914516
2011-08-01,27.51,27.68,26.75,27.27,61846218
2011-09-01,26.46,26.86,26.21,26.21,60511548
2011-11-01,26.19,26.32,25.86,25.99,61186956
2011-12-01,25.56,25.63,25.20,25.28,48545338
2012-02-01,29.79,30.05,29.76,29.89,67413817
2012-03-01,31.93,32.39,31.85,32.29,77348930
2012-05-01,32.05,32.34,31.95,32.01,43833208
2012-06-01,28.76,28.96,28.44,28.45,56641282
2012-08-01,29.59,29.65,29.21,29.41,31722523
2012-10-01,29.81,29.98,29.42,29.49,54042532
2012-11-01,28.84,29.56,28.82,29.52,72047818
2013-02-01,27.67,28.05,27.55,27.93,55566440
2013-03-01,27.72,27.98,27.52,27.95,34851878
2013-04-01,28.64,28.66,28.36,28.61,29203122
2013-05-01,32.93,33.08,32.60,32.72,54336834
2013-07-01,34.75,34.99,34.33,34.36,31064000
2013-08-01,32.06,32.09,31.60,31.67,42557872
2013-10-01,33.35,33.61,33.30,33.58,36718733
2013-11-01,35.67,35.69,35.39,35.52,40271887
2014-04-01,41.15,41.59,41.07,41.42,32610395
2014-05-01,40.24,40.36,39.95,40.00,28791455
2014-07-01,41.86,42.15,41.69,41.87,26922597
2014-08-01,43.21,43.25,42.60,42.86,31171094
2014-10-01,46.27,46.53,45.84,45.90,38088355
2014-12-01,47.88,48.78,47.71,48.62,31191575
2015-04-01,40.60,40.76,40.31,40.72,36865322
2015-05-01,48.58,48.88,48.40,48.66,38937336
2015-06-01,47.06,47.77,46.62,47.23,28837332
2015-07-01,44.46,45.23,44.10,44.44,28343907
2015-09-01,42.17,42.59,41.66,41.82,49194736
2015-10-01,44.75,44.75,43.75,44.61,28470381
2015-12-01,54.41,55.23,54.30,55.22,39848647
2016-02-01,54.88,55.09,54.50,54.71,43587105
2016-03-01,50.97,52.59,50.92,52.58,32778474
2016-04-01,55.05,55.61,54.57,55.57,24298612
2016-06-01,52.44,52.95,52.44,52.85,25324828
2016-07-01,51.13,51.72,51.07,51.16,21400392
2016-08-01,56.60,56.75,56.14,56.58,26003419
2016-09-01,57.01,57.82,57.01,57.59,26075363
